질문_번호,질문,방법,응답_시간(초),관련성_점수,검색_문서_수,답변_길이,순위
1,인공지능의 주요 기술은 무엇인가요?,Basic RAG,3.4909303188323975,0.0025445292620865138,3,724,1
1,인공지능의 주요 기술은 무엇인가요?,Multi-Query RAG,5.2255470752716064,0.0025445292620865138,3,710,2
1,인공지능의 주요 기술은 무엇인가요?,Ensemble Retrieval RAG,3.2025229930877686,0.0025445292620865138,3,724,3
1,인공지능의 주요 기술은 무엇인가요?,Hierarchical Chunking RAG,3.1763150691986084,0.0025445292620865138,3,714,4
2,RAG의 장점을 설명해주세요.,Basic RAG,2.5590262413024902,0.005365223012281835,3,549,1
2,RAG의 장점을 설명해주세요.,Multi-Query RAG,4.8358399868011475,0.005365223012281835,3,590,2
2,RAG의 장점을 설명해주세요.,Ensemble Retrieval RAG,2.0270678997039795,0.005365223012281835,3,415,3
2,RAG의 장점을 설명해주세요.,Hierarchical Chunking RAG,2.5784785747528076,0.005365223012281835,3,586,4
3,머신러닝과 딥러닝의 차이점은 무엇인가요?,Basic RAG,3.491260528564453,0.0,3,708,1
3,머신러닝과 딥러닝의 차이점은 무엇인가요?,Multi-Query RAG,4.791177749633789,0.0,3,392,2
3,머신러닝과 딥러닝의 차이점은 무엇인가요?,Ensemble Retrieval RAG,3.422581911087036,0.0,3,694,3
3,머신러닝과 딥러닝의 차이점은 무엇인가요?,Hierarchical Chunking RAG,2.516835927963257,0.0,0,666,4
4,자연어처리의 주요 기술들을 나열해주세요.,Basic RAG,2.5097992420196533,0.0,0,666,1
4,자연어처리의 주요 기술들을 나열해주세요.,Multi-Query RAG,2.9200963973999023,0.0,0,666,2
4,자연어처리의 주요 기술들을 나열해주세요.,Ensemble Retrieval RAG,2.510288953781128,0.0,0,666,3
4,자연어처리의 주요 기술들을 나열해주세요.,Hierarchical Chunking RAG,2.5102524757385254,0.0,0,666,4
5,RAG 최적화 방법들에는 어떤 것들이 있나요?,Multi-Query RAG,3.7356343269348145,0.008015907537438638,3,398,1
5,RAG 최적화 방법들에는 어떤 것들이 있나요?,Ensemble Retrieval RAG,1.662705421447754,0.008015907537438638,3,407,2
5,RAG 최적화 방법들에는 어떤 것들이 있나요?,Hierarchical Chunking RAG,1.5228588581085205,0.008015907537438638,3,407,3
5,RAG 최적화 방법들에는 어떤 것들이 있나요?,Basic RAG,2.5050103664398193,0.0,0,665,4
